text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"#Ark Partnering with #OKExchange
#TaaS New Advisory partnership with #FuzeX
#RedPulse Release mobile app on #google #RPX
#Revain Release new dashboard #R
#Cardano Regular update #ADA
#BitcoinFile Soon trading on #huobi Pro #BIFI
#DopeCoin New #Wallet #dope
https://t.co/Tt69EcLHwI https://t.co/Y6Gv3fDoEL",en,"Melbourne, Victoria",,,,CoinTradingNews,Thu Dec 28 13:28:58 +0000 2017,0,0,5,False,0,False,
Why Cardano ADA ? https://t.co/ng10I4l61r,en,"Québec, Canada",,,,Darkcrypto1,Thu Dec 28 13:02:15 +0000 2017,0,0,0,False,0,False,
"$Enigmaeng : ENG $50
Ethereum introduced smart contracts
Cardano introduced mathematically provable secure Proof of Stake
Enigma introduces multiple party computation, which allows completely private smart contracts (essential for industry adoption of public blockchains)",en,San Francisco,,,,CryptoBoulevard,Thu Dec 28 12:33:28 +0000 2017,0,0,0,False,0,False,
My answer to Can Cardano (ADA) reach the same price as Bitcoin (BTC) or Ethereum (ETH)? https://t.co/qZIXtCfCAc,en,uk,,,,AliFlem,Thu Dec 28 12:11:45 +0000 2017,0,0,0,False,0,False,
"FREE Crypto Coins 
Pre Sign Up Ends Soon

https://t.co/GXoGVu4yUU

#TenX #ico #ethereum #crypto #btc #mining  #satoshinakamoto
#cryptocurrency #ico #altcoin #altcoins #dash #cardano #Bitconnect https://t.co/AsoYuyTHyx",en,"Manchester, England",,,,allthings_pooch,Thu Dec 28 11:21:31 +0000 2017,0,0,0,False,0,False,
https://t.co/J5O3nkGoT7 @thomaspower @seandotau could this be a real alternative to Etherum for #ICOs to use......?,en,"London, England",,,,jonnyfry175,Thu Dec 28 08:55:02 +0000 2017,0,0,1,False,0,False,
IOHK | Cardano whiteboard; overview with Charles Hoskinson https://t.co/d35StZc2tU via @YouTube,en,Android,,,,YangChen,Thu Dec 28 08:13:43 +0000 2017,0,0,0,False,0,False,
"The evolution is accelerating. It's entirely conceivable that both Bitcoin and Ethereum get supplanted as the dominant platform. 
“On the Origin of Cardano” https://t.co/jlOWSjqc3P",en,Berkeley,,,,VevoRevo,Thu Dec 28 03:01:54 +0000 2017,0,0,0,False,0,False,
"Your personal favourite coin? If other please comment, vote and retweet! #crypto #cryptocurrency #bitcoin #ripple #xvg #btc #ethereum #litecoin #verge #tron #trx #neo #iota #miota #ether #tether #cardano #ada #altcoins #xem #eos #monero #stellar #qtum #lisk #zcash  #dash #icon",en,"London, England",,,,CryptoInvest18,Thu Dec 28 01:29:37 +0000 2017,0,0,0,False,0,False,
"I’ll tell you what the coin of this  month and jan XRP, cardano ADA and vertcoin these are the ones maybe even Coinbase might add 2 of them or maybe all",en,"Blackpool, England",,,,rockycrypto1,Wed Dec 27 22:50:38 +0000 2017,0,0,0,False,0,False,
XRP! Safest investment here! $56B market cap and no stop anytime soon! Load up! https://t.co/mVNH435cND #crypto #cryptocurrency #ripple #xrp #bitcoin #btc #verge #tron #trx #cardano #altcoins #ethereum #litecoin #xem #ico #bitcoincash #dash #zcash #money https://t.co/RICEg5Ov76,en,"London, England",,,,CryptoInvest18,Wed Dec 27 22:14:34 +0000 2017,0,0,1,False,0,False,
If you know any good Telegram groups about Crypto please comment below! #crypto #cryptocurrency #bitcoin #btc #litecoin #ethereum #bitcoincash #verge #tron #trx #XVG #ripple #xrp #cardano #ada #telegram #dash #miota #iota #eos #monero #neo #xlm #qtum #etc #money #trading,en,"London, England",,,,CryptoInvest18,Wed Dec 27 22:09:13 +0000 2017,0,0,0,False,0,False,
Cardano Price Analysis - Promising lofty goals #BraveNewCoin https://t.co/Xs2NDqQsE9 https://t.co/OK5gNRSY5D,en,"London, UK",,,,DerinCag,Wed Dec 27 21:30:12 +0000 2017,0,0,82,False,0,False,
"If you have $5000 and you can buy only one of these, which it would be? Vote and Retweet! #verge #neo #cardano #litecoin #bitcoin #btc #ethereum #trx #tron #xvg #ripple #xrp #bitcoincash #ltc #tether #ether #ada #qtum #miota #iota #xem #nem #monero #xlm #eos #ico #dash #zcash",en,"London, England",,,,CryptoInvest18,Wed Dec 27 21:27:23 +0000 2017,0,1,1,False,0,False,
"$Enigmaeng : ENG $50
Ethereum introduced smart contracts
Cardano introduced mathematically provable secure Proof of Stake
Enigma introduces multiple party computation, which allows completely private smart contracts (essential for industry adoption of public blockchains)",en,San Francisco,,,,CryptoBoulevard,Wed Dec 27 19:53:17 +0000 2017,0,0,0,False,0,False,
(https://t.co/k7wtiguSBq) #BTC : Investment in cardano returns double the yield of bitcoin,en,"London, England",,,,_cryptoTrend_,Wed Dec 27 19:04:57 +0000 2017,0,0,0,False,0,False,
Breakout coin of 2018? Please Vote and Retweet! #crypto #cryptocurrency #bytecoin #dogecoin #siacon #dentacoin #bitcoin #btc #litecoin #ltc #iota #miota #cardano #ada #verga #xvg #ripple #tron #trx #bitcoincash #altcoin #money #neo #ethereum #ether #tether #dash #monero #zcash,en,"London, England",,,,CryptoInvest18,Wed Dec 27 18:17:28 +0000 2017,0,0,0,False,0,False,
Cardano ADA Being listed 6th by market cap and being under US$1.00 per coin has immense advantages in attracting new buyers in the space. A third drive above US$1.90 and speculative mania driving this above US$10.00 are probably equally possible.,en,"Québec, Canada",,,,Darkcrypto1,Wed Dec 27 16:45:14 +0000 2017,0,1,0,False,0,False,
