,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
343,en,TORONTO & MIAMI,,,,PamperJodi,Fri Dec 22 10:06:04 +0000 2017,0,0,0,False,0,False,,"icymi : bitdegree # cryptocurrency ico powered 29,000,000 active user base @ matrixthinker # crowdsale # blockchain # ico via @ bitdegree_org # cryptocurrency # bitcoin # cardano # verge # ethereum # stellar # tron # status https : //t.co/j90nxpnttx https : //t.co/fwrjgkrznt"
344,en,Toronto,,,,mostpampered,Fri Dec 22 10:06:04 +0000 2017,0,0,0,False,0,False,,"icymi : bitdegree # cryptocurrency ico powered 29,000,000 active user base @ matrixthinker # crowdsale # blockchain # ico via @ bitdegree_org # cryptocurrency # bitcoin # cardano # verge # ethereum # stellar # tron # status https : //t.co/tt9nyhgpif https : //t.co/ys5ogqkha7"
345,en,"Toronto, Ontario",,,,socialroyalties,Fri Dec 22 10:04:05 +0000 2017,0,0,1,False,0,False,,"icymi : bitdegree # cryptocurrency ico powered 29,000,000 active user base @ matrixthinker # crowdsale # blockchain # ico via @ bitdegree_org # cryptocurrency # bitcoin # cardano # verge # ethereum # stellar # tron # status https : //t.co/oxu0u1frmu https : //t.co/z0mwkm1u9l"
346,en,Lancashire ,,,,Scottlad,Fri Dec 22 07:31:58 +0000 2017,0,1,1,False,0,False,,hodl . 's thoughts ? worried ? # bitcoin # litecoin # hodl # etherium # ripple # cryptocurrency # cryptocurrencies # changelly # bitcoincash # iota # cardano # dash # https : //t.co/dwp0eksrjc
347,en,🌐,,,,SportsbookBTC,Fri Dec 22 06:30:10 +0000 2017,0,0,0,False,0,False,,buy cardano ( ) first cryptocurrency ? https : //t.co/bn6cc77ayl 🚀 howtobuy iota via → https : //t.co/rtyb68vj3u https : //t.co/u9iy42otoj
348,en,,,,,AlertTrade,Fri Dec 22 06:30:10 +0000 2017,0,0,0,False,0,False,,buy cardano ( ) first cryptocurrency ? https : //t.co/kohqk244rp 🚀 howtobuy iota via → https : //t.co/awanhf2rxn https : //t.co/r0lniwmay2
349,en,🌐,,,,SportsbookBTC,Fri Dec 22 04:19:08 +0000 2017,0,0,0,False,0,False,,could cardano kill ethereum ? https : //t.co/t4wv5rzisx 🚀 howtobuy iota via → https : //t.co/rtyb68vj3u https : //t.co/vieoednljl
350,en,,,,,AlertTrade,Fri Dec 22 04:19:08 +0000 2017,0,0,0,False,0,False,,could cardano kill ethereum ? https : //t.co/jxgazt7glu 🚀 howtobuy iota via → https : //t.co/awanhfktmn https : //t.co/nhtns1ombg
351,en,"Sydney, Australia",,,,Natskis,Fri Dec 22 03:23:02 +0000 2017,0,0,0,False,0,False,,11 mins $ ltc # litecoin still n't appeared exchange ... *sigh* 'm starting buy # ripple go # cardano # bitcoincash .
352,en,Te Wairua Tapu,,,,space_treasure8,Fri Dec 22 03:09:12 +0000 2017,1,0,0,False,0,False,,cardano interview | w/ charles hoskinson https : //t.co/mtzzykhvh0 via @ youtube
353,en,,,,,digidels,Fri Dec 22 02:22:44 +0000 2017,1,0,1,False,0,False,,ahhh bring . points installed japan 2nd quarter 2018 ! ’ wait whole world knows # thefuture # thefutureofcrypto # ethereumkiller # cryptocurrency # bitcoin # ethereum # blockchain # cardano # # iot # iota # blockchain # technology # ico https : //t.co/6cwsaxqltx
354,en,"London, England",,,,CryptoInvest18,Fri Dec 22 02:18:16 +0000 2017,0,0,2,False,0,False,,rumours around tron added japanese trading platform oxe 5 hours time ! ⬆️📈💎get tron https : //t.co/mvnh435cnd # tron # crypto # cryptocurrency # oxe # trading # verge # cardano # xvg # # invest # money # ripple https : //t.co/6ajbrilozk
355,en,Sydney,,,,solleeaus,Fri Dec 22 02:14:59 +0000 2017,0,0,0,False,0,False,,"coins 'm hodling sell right : verge , cardano , request , ethlend , quantstamp , simple token , tokenpay ico , covesting ico ; coins 'm holding monitoring see next : chainlink wabi ."
356,en,,,,,digidels,Fri Dec 22 02:08:05 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/59lmwsz7g9 cardano interview | w/ charles hoskinson
357,en,"London, England",,,,CryptoInvest18,Fri Dec 22 01:39:03 +0000 2017,0,0,2,False,0,False,,much ripple coins ? # ripple # xrp # crypto # cryptocurrency # bitcoin # btc # bitcoincash # bch # altcoin # ico # ether # ethereum # iota # miota # verge # tron # cardano # trx # xvg # # bank # invest # money
358,en,"West Kelowna, British Columbia",,,,matthewtoren,Thu Dec 21 23:25:53 +0000 2017,0,6,56,False,0,False,,“ 5 # cryptocurrency resources help get speed ” @ jrdngonen https : //t.co/weeqidcqm2 # crypto # bitcoin # ethereum # litecoin # neo # ripple # bitcoincash # omg # qtum # zcash # zcoin # monero # xrp # dash # cardano # # eos # stellar # xlm # zcoin # winning
